"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.degree","Rcrowd.strength","Rcrowd.between","Rcrowd.ec","Rcrowd.ec.value","Rcrowd.apl","Rcrowd.eff","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.degree","Rdisp.strength","Rdisp.between","Rdisp.ec","Rdisp.ec.value","Rdisp.apl","Rdisp.eff","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri","ref1.cor.matrix","R.cor.strength","R.cor.between","R.cor.eigen"
"BBB","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,4,7,33.0357142857143,1,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,3,6,35.1527777777778,1,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BBG","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,13,90,19.4833333333333,0.00769772318313618,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,9,41,0,0,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BBR","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,0,0,0,0.149643880794472,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,0,0,0,0.0649683066917133,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BGB","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,2,3,45.0261904761905,0.242728380196746,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,0,0,0,0.188036044190229,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BGG","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,4,7,13.7261904761905,0.163186176627379,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,4,6,39.109126984127,0.0855936471328148,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BRB","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,4,14,37.4857142857143,0.620930237149157,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,7,9,68.5722222222222,0.170305286881111,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"BRR","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,3,10,20.6261904761905,0.414467131457107,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,4,7,33.2011904761905,0.272753554546197,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"GBB","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,15,153,29.0666666666667,0.00804983459500143,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,14,72,25.1861111111111,0.00493417544851274,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"GBG","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,9,27,25.25,0.00908894907433875,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,6,15,0.333333333333333,0,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
"GGB","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,14,69,3.5,0.107003839827171,21.8616123299127,1.8775,0.365291078010899,0.3844,0.275664639183549,0.367,210,0.947,0.788,13,87,45.7194444444444,0.113814442714607,23.0665577059918,1.8463768115942,0.352831451868769,0.3571,0.262357967718112,0.4,210,0.952,0.809,0.362635666220539,0.900198759111817,0.0702211256923904,0.724910723520148
